序号,角色名,稀有度,配件1,配件2,属性,名称,图标,长图,横图
0,"夏以昼",5,"紫辉","日冕","攻击","寂路不归","https://patchwiki.biligame.com/images/lysk/thumb/e/ee/6w25vspa4wzntildi6pb0lwfjjbxcm7.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E5%AF%82%E8%B7%AF%E4%B8%8D%E5%BD%92.png","https://patchwiki.biligame.com/images/lysk/thumb/4/4c/gqgm6aimkwziqn3bdtvxpbzldwujfz7.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E5%AF%82%E8%B7%AF%E4%B8%8D%E5%BD%92.png","https://patchwiki.biligame.com/images/lysk/thumb/7/76/4irh7jynupzwlw3e2zhj9fp3w1bwfvq.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E5%AF%82%E8%B7%AF%E4%B8%8D%E5%BD%92.jpg.png"
0,"夏以昼",5,"紫辉","日冕","攻击","寂路同赴","https://patchwiki.biligame.com/images/lysk/thumb/5/58/c9gzfpokb2oz5bm55xa8fkdzukdx42p.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E5%AF%82%E8%B7%AF%E5%90%8C%E8%B5%B4.png","https://patchwiki.biligame.com/images/lysk/thumb/e/e1/7piacni6x7x78f859vu9a2llxwkkwgj.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E5%AF%82%E8%B7%AF%E5%90%8C%E8%B5%B4.png","https://patchwiki.biligame.com/images/lysk/thumb/9/95/5gcnwxpp641muzihey1zmg2zhmp61bh.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E5%AF%82%E8%B7%AF%E5%90%8C%E8%B5%B4.jpg.png"
0,"夏以昼",4,"绿珥","日冕","攻击","离途密触","https://patchwiki.biligame.com/images/lysk/thumb/9/90/2ytd5gyxfbb0vzlz6e3cksfer4rf068.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E7%A6%BB%E9%80%94%E5%AF%86%E8%A7%A6.png","https://patchwiki.biligame.com/images/lysk/thumb/b/b3/jkxtvyd68b0xbhszy042u3ixpsjiq2x.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E7%A6%BB%E9%80%94%E5%AF%86%E8%A7%A6.png","https://patchwiki.biligame.com/images/lysk/thumb/f/f0/d4uo87wv0bvqfykm3r90qgsj9be16l6.png/120px-%E6%80%9D%E5%BF%B5%E6%A8%AA%E5%9B%BE-%E7%A6%BB%E9%80%94%E5%AF%86%E8%A7%A6.png"
0,"夏以昼",4,"绿珥","日冕","攻击","离途幻乐","https://patchwiki.biligame.com/images/lysk/thumb/1/1f/jdsf585baowvnu08c2kkewliy3y3b2g.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E7%A6%BB%E9%80%94%E5%B9%BB%E4%B9%90.png","https://patchwiki.biligame.com/images/lysk/thumb/6/68/clrkh06d8xkao786w1t3unc1cwfpspb.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E7%A6%BB%E9%80%94%E5%B9%BB%E4%B9%90.png","https://patchwiki.biligame.com/images/lysk/thumb/8/83/4rnvu1zpel2no1b02bsbtt70zkehwj4.png/120px-%E6%80%9D%E5%BF%B5%E6%A8%AA%E5%9B%BE-%E7%A6%BB%E9%80%94%E5%B9%BB%E4%B9%90.png"
0,"夏以昼",3,"粉珀","月晖","攻击","终结","https://patchwiki.biligame.com/images/lysk/thumb/d/da/38j474dwz9q9arrijk4f63ou48sw7jt.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E7%BB%88%E7%BB%93.png","https://patchwiki.biligame.com/images/lysk/thumb/d/d7/1n7co2kk6r3u5rjagjfi4fybmldykx3.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E7%BB%88%E7%BB%93.png",""
0,"秦彻",5,"蓝弧","月晖","生命","造物宣示","https://patchwiki.biligame.com/images/lysk/thumb/4/4c/8vjuzyfkx18ja33nz73oj4f9a11zmtc.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E9%80%A0%E7%89%A9%E5%AE%A3%E7%A4%BA.png","https://patchwiki.biligame.com/images/lysk/thumb/6/63/5pk3q9tm8d6ly40sf4l6t6ffb71l3es.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E9%80%A0%E7%89%A9%E5%AE%A3%E7%A4%BA.png","https://patchwiki.biligame.com/images/lysk/thumb/e/ee/4qm5u5qzd5pfx45mkdv412r481rjogy.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E9%80%A0%E7%89%A9%E5%AE%A3%E7%A4%BA.jpg"
0,"黎深",5,"紫辉","月晖","防御","愿缘长","https://patchwiki.biligame.com/images/lysk/thumb/8/8d/branf8cilg492snnjz71nagjoyfe53a.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E6%84%BF%E7%BC%98%E9%95%BF.png","https://patchwiki.biligame.com/images/lysk/thumb/2/29/iya0uvv4olnqvyyschnkj74czzinp3s.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E6%84%BF%E7%BC%98%E9%95%BF.png","https://patchwiki.biligame.com/images/lysk/thumb/8/8f/ef4mgq7lddcffnezgh82x2emfi28vy0.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E6%84%BF%E7%BC%98%E9%95%BF.jpg"
0,"夏以昼",4,"黄璃","月晖","生命","寥落假象","https://patchwiki.biligame.com/images/lysk/thumb/c/c2/59krony52r0op0srptuq55dov4au1j2.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E5%AF%A5%E8%90%BD%E5%81%87%E8%B1%A1.png","https://patchwiki.biligame.com/images/lysk/thumb/7/72/mwekcrqrja6pphat6lwplda32vhxxoj.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E5%AF%A5%E8%90%BD%E5%81%87%E8%B1%A1.png","https://patchwiki.biligame.com/images/lysk/thumb/8/84/6omqyusy9er2rq5nc0qh5etd1rmavxg.png/120px-%E6%80%9D%E5%BF%B5%E6%A8%AA%E5%9B%BE-%E5%AF%A5%E8%90%BD%E5%81%87%E8%B1%A1.png"
0,"沈星回",4,"紫辉","月晖","生命","星晚觅甜","https://patchwiki.biligame.com/images/lysk/thumb/7/75/q9mfkjabjty546zt61o6qj9tc7pk13u.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E6%98%9F%E6%99%9A%E8%A7%85%E7%94%9C.png","https://patchwiki.biligame.com/images/lysk/thumb/a/af/9vhvhlehjvqx4z2chto9h85estz0c0x.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E6%98%9F%E6%99%9A%E8%A7%85%E7%94%9C.png","https://patchwiki.biligame.com/images/lysk/thumb/1/16/58vvnx567idtvgrneeprs0py88nbg6j.png/120px-%E6%80%9D%E5%BF%B5%E6%A8%AA%E5%9B%BE-%E6%98%9F%E6%99%9A%E8%A7%85%E7%94%9C.png"
0,"祁煜",5,"绿珥","月晖","生命","沉入无尽海","https://patchwiki.biligame.com/images/lysk/thumb/7/7e/m4idhpzx8ay3vvolrkvjyhibtc9jxx3.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E6%B2%89%E5%85%A5%E6%97%A0%E5%B0%BD%E6%B5%B7.png","https://patchwiki.biligame.com/images/lysk/thumb/6/63/0g6gv6rlfwga1e6a4wgmicuyc1fa854.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E6%B2%89%E5%85%A5%E6%97%A0%E5%B0%BD%E6%B5%B7.png","https://patchwiki.biligame.com/images/lysk/thumb/3/36/6v3xly4kg80bo53g3vvgiu3daph78z5.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E6%B2%89%E5%85%A5%E6%97%A0%E5%B0%BD%E6%B5%B7.jpg.png"
0,"祁煜",3,"红漪","月晖","生命","鱼随心萦","https://patchwiki.biligame.com/images/lysk/thumb/2/2c/dgbzovjzqmip8ynoxb01xoe2s5m6kuv.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E9%B1%BC%E9%9A%8F%E5%BF%83%E8%90%A6.png","https://patchwiki.biligame.com/images/lysk/thumb/c/c4/21qabwehyuzs5prhl7t0dujw6w2k1sc.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E9%B1%BC%E9%9A%8F%E5%BF%83%E8%90%A6.png",""
0,"夏以昼",5,"紫辉","月晖","防御","附骨之痕","https://patchwiki.biligame.com/images/lysk/thumb/5/55/ihpdofzbb26xc4p0u3gict91x9eskhb.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E9%99%84%E9%AA%A8%E4%B9%8B%E7%97%95.png","https://patchwiki.biligame.com/images/lysk/thumb/e/ee/av1gs2fxn6iohy6am6n118wivrcbm0m.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E9%99%84%E9%AA%A8%E4%B9%8B%E7%97%95.png","https://patchwiki.biligame.com/images/lysk/thumb/8/81/8dq3rvzruzj38jtnyen6dk6r8c6im94.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E9%99%84%E9%AA%A8%E4%B9%8B%E7%97%95.jpg"
0,"沈星回",5,"粉珀","月晖","防御","虚构妄想","https://patchwiki.biligame.com/images/lysk/thumb/2/21/9r0tklcw541cmw2n0m2rihim51hbtoh.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E8%99%9A%E6%9E%84%E5%A6%84%E6%83%B3.png","https://patchwiki.biligame.com/images/lysk/thumb/5/5f/0uohsvrwlberoo407cnkbk5spjpzonx.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E8%99%9A%E6%9E%84%E5%A6%84%E6%83%B3.png","https://patchwiki.biligame.com/images/lysk/thumb/2/29/rbkz336646zvo7argr8i81makowneij.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E8%99%9A%E6%9E%84%E5%A6%84%E6%83%B3.jpg"
0,"祁煜",5,"红漪","月晖","生命","狂热剂量","https://patchwiki.biligame.com/images/lysk/thumb/2/29/lsyw65v69lc1nzn21g6qdqvuib1erbx.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E7%8B%82%E7%83%AD%E5%89%82%E9%87%8F.png","https://patchwiki.biligame.com/images/lysk/thumb/f/f4/9lnt9i5mzq8xwmbrd0o7wci3r90kzu1.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E7%8B%82%E7%83%AD%E5%89%82%E9%87%8F.png","https://patchwiki.biligame.com/images/lysk/thumb/a/a1/0q3l0qxw356iwqk9608174guwtg5ypv.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E7%8B%82%E7%83%AD%E5%89%82%E9%87%8F.jpg"
0,"秦彻",5,"紫辉","月晖","攻击","无罪樊笼","https://patchwiki.biligame.com/images/lysk/thumb/9/99/1i1yq6lsiipoqf3t0awhki428ihdxsf.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E6%97%A0%E7%BD%AA%E6%A8%8A%E7%AC%BC.png","https://patchwiki.biligame.com/images/lysk/thumb/5/5b/1n5pqilv3xbwnc5370aeajilfvymgr7.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E6%97%A0%E7%BD%AA%E6%A8%8A%E7%AC%BC.png","https://patchwiki.biligame.com/images/lysk/thumb/e/e8/py29f7uldip2rsr5wusv4tm4r46h7xz.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E6%97%A0%E7%BD%AA%E6%A8%8A%E7%AC%BC.jpg"
0,"黎深",5,"黄璃","月晖","攻击","即时紊乱","https://patchwiki.biligame.com/images/lysk/thumb/4/4f/1n1ysjevedwh6aofo3yi7m8hrom7kqv.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E5%8D%B3%E6%97%B6%E7%B4%8A%E4%B9%B1.png","https://patchwiki.biligame.com/images/lysk/thumb/a/a6/12nwweg9c7dmjms31sx3z3012f01zqp.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E5%8D%B3%E6%97%B6%E7%B4%8A%E4%B9%B1.png","https://patchwiki.biligame.com/images/lysk/thumb/8/8e/3sj9ojl6td8veswzc5qc7d3j22k8xzt.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E5%8D%B3%E6%97%B6%E7%B4%8A%E4%B9%B1.jpg"
0,"夏以昼",5,"绿珥","月晖","生命","无尽夏","https://patchwiki.biligame.com/images/lysk/thumb/4/43/9t6ivv2mbpo2qnqu726z473jaz5srun.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E6%97%A0%E5%B0%BD%E5%A4%8F.png","https://patchwiki.biligame.com/images/lysk/thumb/c/c8/pmlpmsmy4mh7qbg6tll3nzjwvw35tyw.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E6%97%A0%E5%B0%BD%E5%A4%8F.png","https://patchwiki.biligame.com/images/lysk/thumb/a/a9/a1oqgzfjsqct19rzl5ep0whai7or1lb.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E6%97%A0%E5%B0%BD%E5%A4%8F.jpg.png"
0,"夏以昼",5,"紫辉","月晖","攻击","暗潮边缘","https://patchwiki.biligame.com/images/lysk/thumb/1/1d/kokgiun0j8rk0mg15449tlbq1uzf0q1.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E6%9A%97%E6%BD%AE%E8%BE%B9%E7%BC%98.png","https://patchwiki.biligame.com/images/lysk/thumb/8/81/6fb5ibxpwrq00qy36wikssid7utjef3.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E6%9A%97%E6%BD%AE%E8%BE%B9%E7%BC%98.png",""
0,"夏以昼",5,"紫辉","月晖","防御","触痛讯号","https://patchwiki.biligame.com/images/lysk/thumb/8/8f/r9oa6hwz8ldqru4qz0flad9f9v56720.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E8%A7%A6%E7%97%9B%E8%AE%AF%E5%8F%B7.png","https://patchwiki.biligame.com/images/lysk/thumb/0/01/6xccs3h7cxr15ilqo1kg1pxp4ju71l3.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E8%A7%A6%E7%97%9B%E8%AE%AF%E5%8F%B7.png","https://patchwiki.biligame.com/images/lysk/thumb/9/9b/nzbh60s7gjemhesmunstf0438y1to4i.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E8%A7%A6%E7%97%9B%E8%AE%AF%E5%8F%B7.jpg.png"
0,"夏以昼",5,"红漪","月晖","防御","限定余味","https://patchwiki.biligame.com/images/lysk/thumb/6/6b/tawzelqgfp384utjwpvzjt7dxsnvrlv.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E9%99%90%E5%AE%9A%E4%BD%99%E5%91%B3.png","https://patchwiki.biligame.com/images/lysk/thumb/d/d5/s8agau4egg33w62rcvwhnyyna9n94ki.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E9%99%90%E5%AE%9A%E4%BD%99%E5%91%B3.png",""
0,"夏以昼",5,"红漪","日冕","防御","远空棠雨","https://patchwiki.biligame.com/images/lysk/thumb/b/ba/o1q6kugca9wcyq06p4t1byw71d49r0d.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E8%BF%9C%E7%A9%BA%E6%A3%A0%E9%9B%A8.png","https://patchwiki.biligame.com/images/lysk/thumb/d/d8/jyx3jj49tta8eycjmxcw7j7tgmhwu6t.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E8%BF%9C%E7%A9%BA%E6%A3%A0%E9%9B%A8.png","https://patchwiki.biligame.com/images/lysk/thumb/5/5b/4uwsvdyqfsqqo1sg9sk3jk3o1c7ec6u.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E8%BF%9C%E7%A9%BA%E6%A3%A0%E9%9B%A8.jpg.png"
0,"夏以昼",5,"红漪","日冕","防御","远空迷航","https://patchwiki.biligame.com/images/lysk/thumb/4/4d/m98vse11qizn5r4irluwcqg6cvtc2qe.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E8%BF%9C%E7%A9%BA%E8%BF%B7%E8%88%AA.png","https://patchwiki.biligame.com/images/lysk/thumb/c/cf/tvdjpkyazljcvgork035kahuj0nhi9w.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E8%BF%9C%E7%A9%BA%E8%BF%B7%E8%88%AA.png","https://patchwiki.biligame.com/images/lysk/thumb/f/fe/h31yldfvtxe8lc7ss664ez2vl4oht02.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E8%BF%9C%E7%A9%BA%E8%BF%B7%E8%88%AA.jpg"
0,"夏以昼",4,"紫辉","月晖","防御","回夏","https://patchwiki.biligame.com/images/lysk/thumb/e/e0/m51g28gb18xv2gka6a10b9hrenkwrjm.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E5%9B%9E%E5%A4%8F.png","https://patchwiki.biligame.com/images/lysk/thumb/c/c6/nnkeaacengvyx2vv1wkkk71yqsc4oik.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E5%9B%9E%E5%A4%8F.png","https://patchwiki.biligame.com/images/lysk/thumb/c/c4/pzm260ni52l7ddtewemexgrt06a47f0.png/120px-%E6%80%9D%E5%BF%B5%E6%A8%AA%E5%9B%BE-%E5%9B%9E%E5%A4%8F.png"
